objective_family,landscape,case_id,alpha,seed,method_label,runtime_seconds,best_runtime_seconds,runtime_ratio,status,success
MeanCVaR,Sub20,case01,0.01,20260602,FPP-Branch-and-Benders-LLBI,5.05741985,4.83285348,1.046466621,Optimal,true
MeanCVaR,Sub20,case01,0.01,20260602,FPP-Branch-and-Benders-LLBI-RootCuts,4.83285348,4.83285348,1,Optimal,true
MeanCVaR,Sub20,case01,0.01,20260602,FPP-Branch-Benders-Combinatorial,61.13958915,4.83285348,12.65082614,Optimal,true
MeanCVaR,Sub20,case01,0.02,20260602,FPP-SAA base,300.0233021,300.0233021,1,Feasible,true
MeanCVaR,Sub20,case01,0.02,20260602,FPP-SAA cut,300.0251716,300.0233021,1.000006231,Feasible,true
MeanCVaR,Sub20,case01,0.02,20260602,FPP-Branch-and-Benders,300.6012723,300.0233021,1.001926417,Feasible,true
MeanCVaR,Sub20,case01,0.02,20260602,FPP-Branch-and-Benders-LLBI,300.3201366,300.0233021,1.000989371,Feasible,true
MeanCVaR,Sub20,case01,0.02,20260602,FPP-Branch-and-Benders-LLBI-RootCuts,300.4979695,300.0233021,1.001582102,Feasible,true
MeanCVaR,Sub20,case01,0.02,20260602,FPP-Branch-Benders-Combinatorial,306.3631167,300.0233021,1.021131074,Feasible,true
MeanCVaR,Sub20,case02,0.01,20260603,FPP-SAA base,94.4856153,3.49464447,27.03726119,Optimal,true
MeanCVaR,Sub20,case02,0.01,20260603,FPP-SAA cut,300.0164707,3.49464447,85.85035568,Feasible,true
MeanCVaR,Sub20,case02,0.01,20260603,FPP-Branch-and-Benders,7.46989882,3.49464447,2.137527547,Optimal,true
MeanCVaR,Sub20,case02,0.01,20260603,FPP-Branch-and-Benders-LLBI,8.28238564,3.49464447,2.37002239,Optimal,true
MeanCVaR,Sub20,case02,0.01,20260603,FPP-Branch-and-Benders-LLBI-RootCuts,3.49464447,3.49464447,1,Optimal,true
MeanCVaR,Sub20,case02,0.01,20260603,FPP-Branch-Benders-Combinatorial,60.8231271,3.49464447,17.40466809,Optimal,true
MeanCVaR,Sub20,case02,0.02,20260603,FPP-SAA base,300.0229329,300.0229329,1,Feasible,true
MeanCVaR,Sub20,case02,0.02,20260603,FPP-SAA cut,300.0258055,300.0229329,1.000009574,Feasible,true
MeanCVaR,Sub20,case02,0.02,20260603,FPP-Branch-and-Benders,300.3635911,300.0229329,1.001135441,Feasible,true
MeanCVaR,Sub20,case02,0.02,20260603,FPP-Branch-and-Benders-LLBI,300.3179525,300.0229329,1.000983323,Feasible,true
