objective_family,landscape,case_id,alpha,seed,method_label,objective_in_sample,best_bound,configured_mip_gap_column,computed_relative_gap,computed_relative_gap_percent,status
CVaR,Sub20,case00,0.02,20260601,FPP-Branch-and-Benders,169.30000000,154.62929427,0.001,0.086655084052,8.6655084052,Feasible
CVaR,Sub20,case00,0.02,20260601,FPP-Branch-and-Benders-LLBI,167.90000000,156.58279791,0.001,0.0674044198332,6.74044198332,Feasible
CVaR,Sub20,case00,0.02,20260601,FPP-Branch-and-Benders-LLBI-RootCuts,167.90000000,157.77277910,0.001,0.0603169797499,6.03169797499,Feasible
CVaR,Sub20,case00,0.02,20260601,FPP-Branch-Benders-Combinatorial,192.40000000,146.61852626,0.001,0.237949447713,23.7949447713,Feasible
CVaR,Sub20,case01,0.01,20260602,FPP-SAA base,235.30000000,223.12263765,0.001,0.0517524961751,5.17524961751,Feasible
CVaR,Sub20,case01,0.01,20260602,FPP-SAA cut,234.30000000,209.69248676,0.001,0.105025664703,10.5025664703,Feasible
CVaR,Sub20,case01,0.01,20260602,FPP-Branch-and-Benders,234.30000000,234.07009911,0.001,0.000981224455826,0.0981224455826,Optimal
CVaR,Sub20,case01,0.01,20260602,FPP-Branch-and-Benders-LLBI,234.30000000,234.07486514,0.001,0.00096088288519,0.096088288519,Optimal
CVaR,Sub20,case01,0.01,20260602,FPP-Branch-and-Benders-LLBI-RootCuts,234.30000000,234.07914160,0.001,0.000942630815194,0.0942630815194,Optimal
CVaR,Sub20,case01,0.01,20260602,FPP-Branch-Benders-Combinatorial,234.30000000,234.07486048,0.001,0.000960902774221,0.0960902774221,Optimal
CVaR,Sub20,case01,0.02,20260602,FPP-SAA base,185.10000000,145.48559061,0.001,0.214016258185,21.4016258185,Feasible
CVaR,Sub20,case01,0.02,20260602,FPP-SAA cut,181.90000000,142.39808412,0.001,0.217162814074,21.7162814074,Feasible
CVaR,Sub20,case01,0.02,20260602,FPP-Branch-and-Benders,179.00000000,156.28462168,0.001,0.12690155486,12.690155486,Feasible
CVaR,Sub20,case01,0.02,20260602,FPP-Branch-and-Benders-LLBI,175.60000000,160.36704843,0.001,0.0867480157745,8.67480157745,Feasible
CVaR,Sub20,case01,0.02,20260602,FPP-Branch-and-Benders-LLBI-RootCuts,175.30000000,161.20310322,0.001,0.0804158401597,8.04158401597,Feasible
CVaR,Sub20,case01,0.02,20260602,FPP-Branch-Benders-Combinatorial,180.40000000,149.33915096,0.001,0.172177655432,17.2177655432,Feasible
CVaR,Sub20,case02,0.01,20260603,FPP-SAA base,228.50000000,228.27428671,0.001,0.000987804332604,0.0987804332604,Optimal
CVaR,Sub20,case02,0.01,20260603,FPP-SAA cut,228.50000000,219.24717206,0.001,0.0404937765427,4.04937765427,Feasible
CVaR,Sub20,case02,0.01,20260603,FPP-Branch-and-Benders,228.50000000,228.30628144,0.001,0.000847783632385,0.0847783632385,Optimal
CVaR,Sub20,case02,0.01,20260603,FPP-Branch-and-Benders-LLBI,228.50000000,228.32994568,0.001,0.000744220218818,0.0744220218818,Optimal
CVaR,Sub20,case02,0.01,20260603,FPP-Branch-and-Benders-LLBI-RootCuts,228.50000000,228.28165563,0.001,0.000955555229759,0.0955555229759,Optimal
CVaR,Sub20,case02,0.01,20260603,FPP-Branch-Benders-Combinatorial,228.50000000,228.28429967,0.001,0.000943983938731,0.0943983938731,Optimal
CVaR,Sub20,case02,0.02,20260603,FPP-SAA base,187.70000000,151.25216161,0.001,0.194181344646,19.4181344646,Feasible
CVaR,Sub20,case02,0.02,20260603,FPP-SAA cut,180.00000000,147.90105743,0.001,0.178327458722,17.8327458722,Feasible
CVaR,Sub20,case02,0.02,20260603,FPP-Branch-and-Benders,180.30000000,156.17032433,0.001,0.133830702551,13.3830702551,Feasible
CVaR,Sub20,case02,0.02,20260603,FPP-Branch-and-Benders-LLBI,175.70000000,160.80452059,0.001,0.0847779135458,8.47779135458,Feasible
CVaR,Sub20,case02,0.02,20260603,FPP-Branch-and-Benders-LLBI-RootCuts,174.10000000,162.99807083,0.001,0.0637675426192,6.37675426192,Feasible
CVaR,Sub20,case02,0.02,20260603,FPP-Branch-Benders-Combinatorial,179.90000000,151.29831706,0.001,0.158986564425,15.8986564425,Feasible
CVaR,Sub20,case03,0.01,20260604,FPP-SAA base,214.30000000,214.10507867,0.001,0.000909572235184,0.0909572235184,Optimal
CVaR,Sub20,case03,0.01,20260604,FPP-SAA cut,217.00000000,199.24264434,0.001,0.0818311320737,8.18311320737,Feasible
CVaR,Sub20,case03,0.01,20260604,FPP-Branch-and-Benders,214.30000000,214.09014509,0.001,0.000979257629491,0.0979257629491,Optimal
CVaR,Sub20,case03,0.01,20260604,FPP-Branch-and-Benders-LLBI,214.30000000,214.08893818,0.001,0.0009848895007,0.09848895007,Optimal
CVaR,Sub20,case03,0.01,20260604,FPP-Branch-and-Benders-LLBI-RootCuts,214.30000000,214.10088509,0.001,0.000929140970602,0.0929140970602,Optimal
CVaR,Sub20,case03,0.01,20260604,FPP-Branch-Benders-Combinatorial,214.30000000,214.10714329,0.001,0.000899937984134,0.0899937984134,Optimal
CVaR,Sub20,case03,0.02,20260604,FPP-SAA base,165.50000000,135.91734441,0.001,0.178747163686,17.8747163686,Feasible
CVaR,Sub20,case03,0.02,20260604,FPP-SAA cut,163.40000000,133.59987545,0.001,0.182375303244,18.2375303244,Feasible
CVaR,Sub20,case03,0.02,20260604,FPP-Branch-and-Benders,155.30000000,146.75774347,0.001,0.0550048714102,5.50048714102,Feasible
CVaR,Sub20,case03,0.02,20260604,FPP-Branch-and-Benders-LLBI,154.60000000,144.28602855,0.001,0.0667139162354,6.67139162354,Feasible
CVaR,Sub20,case03,0.02,20260604,FPP-Branch-and-Benders-LLBI-RootCuts,154.90000000,151.37102976,0.001,0.0227822481601,2.27822481601,Feasible
CVaR,Sub20,case03,0.02,20260604,FPP-Branch-Benders-Combinatorial,162.70000000,138.63018833,0.001,0.147939838168,14.7939838168,Feasible
CVaR,Sub20,case04,0.01,20260605,FPP-SAA base,216.30000000,216.08460505,0.001,0.000995815765141,0.0995815765141,Optimal
CVaR,Sub20,case04,0.01,20260605,FPP-SAA cut,217.20000000,208.20044240,0.001,0.041434427256,4.1434427256,Feasible
CVaR,Sub20,case04,0.01,20260605,FPP-Branch-and-Benders,216.30000000,216.09167580,0.001,0.000963126213592,0.0963126213592,Optimal
CVaR,Sub20,case04,0.01,20260605,FPP-Branch-and-Benders-LLBI,216.30000000,216.09845902,0.001,0.000931765973185,0.0931765973185,Optimal
CVaR,Sub20,case04,0.01,20260605,FPP-Branch-and-Benders-LLBI-RootCuts,216.30000000,216.09142969,0.001,0.000964264031438,0.0964264031438,Optimal
CVaR,Sub20,case04,0.01,20260605,FPP-Branch-Benders-Combinatorial,216.30000000,216.08840616,0.001,0.000978242441054,0.0978242441054,Optimal
CVaR,Sub20,case04,0.02,20260605,FPP-SAA base,158.70000000,142.17769504,0.001,0.104110302205,10.4110302205,Feasible
CVaR,Sub20,case04,0.02,20260605,FPP-SAA cut,156.20000000,138.97108921,0.001,0.11030032516,11.030032516,Feasible
CVaR,Sub20,case04,0.02,20260605,FPP-Branch-and-Benders,155.90000000,144.48704366,0.001,0.0732069040411,7.32069040411,Feasible
CVaR,Sub20,case04,0.02,20260605,FPP-Branch-and-Benders-LLBI,155.50000000,144.62263530,0.001,0.0699508983923,6.99508983923,Feasible
CVaR,Sub20,case04,0.02,20260605,FPP-Branch-and-Benders-LLBI-RootCuts,155.90000000,145.76861334,0.001,0.0649864442591,6.49864442591,Feasible
CVaR,Sub20,case04,0.02,20260605,FPP-Branch-Benders-Combinatorial,158.70000000,140.94186695,0.001,0.11189749874,11.189749874,Feasible
MeanCVaR,Sub20,case00,0.01,20260601,FPP-SAA base,165.82000000,165.65553314,0.001,0.000991839705705,0.0991839705705,Optimal
MeanCVaR,Sub20,case00,0.01,20260601,FPP-SAA cut,165.82000000,165.65490283,0.001,0.000995640875648,0.0995640875648,Optimal
MeanCVaR,Sub20,case00,0.01,20260601,FPP-Branch-and-Benders,165.82000000,165.65731025,0.001,0.000981122602822,0.0981122602822,Optimal
MeanCVaR,Sub20,case00,0.01,20260601,FPP-Branch-and-Benders-LLBI,165.82000000,165.65829984,0.001,0.00097515474611,0.097515474611,Optimal
MeanCVaR,Sub20,case00,0.01,20260601,FPP-Branch-and-Benders-LLBI-RootCuts,165.82000000,165.67129768,0.001,0.000896769509106,0.0896769509106,Optimal
MeanCVaR,Sub20,case00,0.01,20260601,FPP-Branch-Benders-Combinatorial,165.82000000,165.82000000,0.001,0,0,Optimal
MeanCVaR,Sub20,case00,0.02,20260601,FPP-SAA base,128.60000000,122.07897517,0.001,0.0507078136081,5.07078136081,Feasible
MeanCVaR,Sub20,case00,0.02,20260601,FPP-SAA cut,126.84500000,118.57500294,0.001,0.0651976590327,6.51976590327,Feasible
MeanCVaR,Sub20,case00,0.02,20260601,FPP-Branch-and-Benders,130.60500000,118.78688818,0.001,0.0904874378469,9.04874378469,Feasible
MeanCVaR,Sub20,case00,0.02,20260601,FPP-Branch-and-Benders-LLBI,126.84500000,122.32531240,0.001,0.0356315786984,3.56315786984,Feasible
MeanCVaR,Sub20,case00,0.02,20260601,FPP-Branch-and-Benders-LLBI-RootCuts,126.84500000,122.86573713,0.001,0.0313710660255,3.13710660255,Feasible
MeanCVaR,Sub20,case00,0.02,20260601,FPP-Branch-Benders-Combinatorial,128.68500000,120.49287125,0.001,0.0636603236585,6.36603236585,Feasible
MeanCVaR,Sub20,case01,0.01,20260602,FPP-SAA base,174.72000000,174.56922499,0.001,0.000862952209249,0.0862952209249,Optimal
MeanCVaR,Sub20,case01,0.01,20260602,FPP-SAA cut,174.72000000,171.63852152,0.001,0.0176366671245,1.76366671245,Feasible
MeanCVaR,Sub20,case01,0.01,20260602,FPP-Branch-and-Benders,174.72000000,174.57685335,0.001,0.000819291723901,0.0819291723901,Optimal
