instance_id,instance_type,objective_family,alpha,train_scenario_count,method_family,method,projected_llbi_family_reconstructed,projected_llbi_variant_reconstructed,runs,solved_to_optimality,time_limited_with_incumbent,failed_or_without_incumbent,status_counts,avg_objective_value,avg_best_bound,avg_mip_gap,avg_runtime,avg_train_expected_burned_area,avg_test_expected_burned_area,avg_train_worst10_burned_area,avg_test_worst10_burned_area,avg_lazy_benders_cuts_added,avg_root_user_cuts_added,avg_standard_llbi_cut_count,avg_projected_llbi_cut_count,avg_root_separation_time,avg_subproblem_solving_time,avg_combinatorial_cut_count
new20x20,shortest_path,CVaR,0.03,100,FPP-SAA-fpp_base,FPP-SAA-CVaR,none,none,5,0,0,0,Feasible:5,136.5,120.5318623,0.116317668,1800.051765,77.95,80.8608,136.5,162.264,0,0,0,0,0,0,0
new20x20,shortest_path,CVaR,0.03,200,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial-CVaR,none,none,5,0,0,0,Feasible:5,138.97,124.897528,0.099837812,1858.67379,77.164,77.7624,138.97,150.658,1899.6,0,0,0,0,0,36761.6
new20x20,shortest_path,CVaR,0.03,200,FPP-Branch-Benders-LLBI-RootCuts,FPP-Branch-Benders-CVaR-LLBI-RootCuts,none,none,5,0,0,0,Feasible:5,143.58,112.1168921,0.219004324,1801.46722,77.431,77.943,143.58,154.946,8852,154.4,200,0,0,59.97460672,0
new20x20,shortest_path,CVaR,0.03,200,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,coverage,exp,5,0,0,0,Feasible:5,138.44,123.9675859,0.104320486,1815.111518,76.831,77.5418,138.44,152.65,4509.2,142.2,0,1000,13.88396171,51.2793775,0
new20x20,shortest_path,CVaR,0.03,200,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,path,exp,5,0,0,0,Feasible:5,137.22,127.3454063,0.071829142,1805.224287,76.779,77.9654,137.22,152.462,2186.4,116.8,0,1000,3.650646246,35.0143442,0
new20x20,shortest_path,CVaR,0.03,200,FPP-Branch-Benders-RootCuts,FPP-Branch-Benders-CVaR-RootCuts,none,none,5,0,0,0,Feasible:5,143.84,111.8458019,0.222153464,1800.780395,79.452,79.275,143.84,153.84,11041.2,153.2,0,0,0,60.70343645,0
new20x20,shortest_path,CVaR,0.03,200,FPP-SAA-fpp_base,FPP-SAA-CVaR,none,none,5,0,0,0,Feasible:5,233.62,121.8518394,0.352775772,1800.190101,90.358,89.4094,175.63,184.782,0,0,0,0,0,0,0
new20x20,shortest_path,CVaR,0.03,400,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial-CVaR,none,none,5,0,0,0,Feasible:5,144.06,127.8780394,0.110225036,1935.102817,78.973,77.7666,144.06,149.624,840.2,0,0,0,0,0,38330.2
new20x20,shortest_path,CVaR,0.03,400,FPP-Branch-Benders-LLBI-RootCuts,FPP-Branch-Benders-CVaR-LLBI-RootCuts,none,none,5,0,0,0,Feasible:5,150.225,114.133051,0.239995898,1804.196139,82.4445,82.239,150.225,158.806,15025.4,303.8,400,0,0,109.7321294,0
new20x20,shortest_path,CVaR,0.03,400,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,coverage,exp,5,0,0,0,Feasible:5,142.34,124.0609002,0.127857386,1828.618734,80.408,79.6696,142.34,148.702,10270,307,0,1000,26.07227251,92.87453629,0
