alpha,objective_family,projected_variant,projected_llbi_strategy,use_root_cuts,method,completed_rows,status_counts,avg_num_variables,min_num_variables,max_num_variables,avg_num_constraints,min_num_constraints,max_num_constraints,avg_num_nonzeros,min_num_nonzeros,max_num_nonzeros,avg_coverage_llbi_num_zeta_vars,min_coverage_llbi_num_zeta_vars,max_coverage_llbi_num_zeta_vars,avg_path_llbi_num_b_vars,min_path_llbi_num_b_vars,max_path_llbi_num_b_vars
0.01,MeanCVaR,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-exp,5,Optimal:5,561,561,561,356.2,282,431,,,,0,0,0,0,0,0
0.01,MeanCVaR,ProjectedPathLLBI-exp,exp,true,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-exp-RootCuts,5,Optimal:5,561,561,561,356.2,282,431,,,,0,0,0,0,0,0
0.01,MeanCVaR,ProjectedPathLLBI-poly,poly,false,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-poly,5,Optimal:5,561,561,561,414.4,301,482,,,,0,0,0,0,0,0
0.01,MeanCVaR,ProjectedPathLLBI-poly,poly,true,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-poly-RootCuts,5,Optimal:5,561,561,561,410.8,314,656,,,,0,0,0,0,0,0
0.02,CVaR,ProjectedCoverageLLBI-exp,exp,false,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp,5,Feasible:4;Optimal:1,561,561,561,926.8,808,1048,,,,0,0,0,0,0,0
0.02,CVaR,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,5,Feasible:4;Optimal:1,561,561,561,812,710,961,,,,0,0,0,0,0,0
0.02,CVaR,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly,5,Feasible:5,561,561,561,1350.8,1135,1693,,,,0,0,0,0,0,0
0.02,CVaR,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,5,Feasible:4;Optimal:1,561,561,561,1120.2,914,1846,,,,0,0,0,0,0,0
0.02,CVaR,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp,5,Feasible:3;Optimal:2,561,561,561,787.2,601,1054,,,,0,0,0,0,0,0
0.02,CVaR,ProjectedPathLLBI-exp,exp,true,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,5,Feasible:3;Optimal:2,561,561,561,825,561,1011,,,,0,0,0,0,0,0
0.02,CVaR,ProjectedPathLLBI-poly,poly,false,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly,5,Feasible:4;Optimal:1,561,561,561,1332,961,1765,,,,0,0,0,0,0,0
0.02,CVaR,ProjectedPathLLBI-poly,poly,true,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly-RootCuts,5,Feasible:4;Optimal:1,561,561,561,1227.6,781,1458,,,,0,0,0,0,0,0
0.02,Expected,ProjectedCoverageLLBI-exp,exp,false,FPP-Branch-Benders-ProjectedCoverageLLBI-exp,5,Optimal:5,460,460,460,766.4,670,835,,,,0,0,0,0,0,0
0.02,Expected,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,5,Optimal:5,460,460,460,730.2,658,803,,,,0,0,0,0,0,0
0.02,Expected,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,5,Optimal:5,460,460,460,2870.8,1489,4380,,,,0,0,0,0,0,0
0.02,Expected,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,5,Optimal:5,460,460,460,2117,1094,3782,,,,0,0,0,0,0,0
0.02,Expected,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-ProjectedPathLLBI-exp,5,Optimal:5,460,460,460,648.2,584,712,,,,0,0,0,0,0,0
0.02,Expected,ProjectedPathLLBI-exp,exp,true,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,5,Optimal:5,460,460,460,657.6,591,723,,,,0,0,0,0,0,0
0.02,Expected,ProjectedPathLLBI-poly,poly,false,FPP-Branch-Benders-ProjectedPathLLBI-poly,5,Optimal:5,460,460,460,2726.8,1691,3877,,,,0,0,0,0,0,0
0.02,Expected,ProjectedPathLLBI-poly,poly,true,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,5,Optimal:5,460,460,460,2112.2,1722,2962,,,,0,0,0,0,0,0
0.02,MeanCVaR,ProjectedCoverageLLBI-exp,exp,false,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-exp,5,Feasible:3;Optimal:2,561,561,561,1352.2,742,1953,,,,0,0,0,0,0,0
0.02,MeanCVaR,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-exp-RootCuts,5,Feasible:4;Optimal:1,561,561,561,1431.2,962,2148,,,,0,0,0,0,0,0
0.02,MeanCVaR,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-poly,5,Feasible:5,561,561,561,2825.2,1643,4632,,,,0,0,0,0,0,0
0.02,MeanCVaR,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-poly-RootCuts,5,Feasible:5,561,561,561,2788.6,1563,4314,,,,0,0,0,0,0,0
0.02,MeanCVaR,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-exp,5,Feasible:2;Optimal:3,561,561,561,1206.8,620,1728,,,,0,0,0,0,0,0
0.02,MeanCVaR,ProjectedPathLLBI-exp,exp,true,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-exp-RootCuts,5,Feasible:2;Optimal:3,561,561,561,1154.6,641,1620,,,,0,0,0,0,0,0
0.02,MeanCVaR,ProjectedPathLLBI-poly,poly,false,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-poly,5,Feasible:5,561,561,561,2533.4,1964,3542,,,,0,0,0,0,0,0
0.02,MeanCVaR,ProjectedPathLLBI-poly,poly,true,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-poly-RootCuts,5,Feasible:5,561,561,561,2522.6,1572,4293,,,,0,0,0,0,0,0
