alpha,objective_family,projected_method,projected_variant,projected_llbi_strategy,projected_use_root_cuts,baseline_category,projected_rows,baseline_rows,projected_avg_objective_metric,baseline_avg_objective_metric,delta_objective_metric,projected_avg_best_bound,baseline_avg_best_bound,delta_best_bound,projected_avg_gap_metric,baseline_avg_gap_metric,delta_gap_metric,projected_avg_runtime_metric,baseline_avg_runtime_metric,delta_runtime_metric,projected_avg_explored_nodes,baseline_avg_explored_nodes,delta_explored_nodes,projected_avg_train_expected_burned_area,baseline_avg_train_expected_burned_area,delta_train_expected_burned_area,projected_avg_test_expected_burned_area,baseline_avg_test_expected_burned_area,delta_test_expected_burned_area,projected_avg_branch_benders_lazy_cuts_added,baseline_avg_branch_benders_lazy_cuts_added,delta_branch_benders_lazy_cuts_added,projected_avg_branch_benders_candidate_incumbents_checked,baseline_avg_branch_benders_candidate_incumbents_checked,delta_branch_benders_candidate_incumbents_checked,projected_avg_num_variables,baseline_avg_num_variables,delta_num_variables,projected_avg_num_constraints,baseline_avg_num_constraints,delta_num_constraints,projected_avg_num_nonzeros,baseline_avg_num_nonzeros,delta_num_nonzeros
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-LLBI-RootCuts,5,5,223.88,223.88,0,223.6822556,223.668574,0.013681624,0.0008839243435,0.0009443730855,-6.044874198e-05,6.808923122,9.817455836,-3.008532714,1943.8,2541.8,-598,111.514,111.514,0,113.5306667,113.5306667,0,58.6,119.8,-61.2,18.4,23,-4.6,561,561,0,326.8,351.8,-25,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-CoverageLLBI,5,5,223.88,225.6,-1.72,223.6822556,212.9719549,10.71030067,0.0008839243435,0.05584846101,-0.05496453667,6.808923122,282.6617104,-275.8527873,1943.8,461.6,1482.2,111.514,110.798,0.716,113.5306667,113.8564444,-0.325777778,58.6,10.6,48,18.4,10.2,8.2,561,14602.8,-14041.8,326.8,14253.4,-13926.6,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-CoverageLLBI-RootCuts,5,5,223.88,225.38,-1.5,223.6822556,211.770175,11.91208057,0.0008839243435,0.05998962082,-0.05910569648,6.808923122,293.7057326,-286.8968095,1943.8,448.4,1495.4,111.514,109.768,1.746,113.5306667,111.9817778,1.548888888,58.6,6,52.6,18.4,8.4,10,561,14602.8,-14041.8,326.8,14257.8,-13931,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-PathLLBI,5,5,223.88,225.74,-1.86,223.6822556,213.4505097,10.23174592,0.0008839243435,0.05359186263,-0.05270793829,6.808923122,273.8132128,-267.0042896,1943.8,542,1401.8,111.514,110.228,1.286,113.5306667,111.4288889,2.101777776,58.6,0,58.6,18.4,4.2,14.2,561,14702.8,-14141.8,326.8,14951.2,-14624.4,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-PathLLBI-RootCuts,5,5,223.88,225.74,-1.86,223.6822556,213.5613568,10.12089887,0.0008839243435,0.05306960426,-0.05218567992,6.808923122,278.989095,-272.1801719,1943.8,532.4,1411.4,111.514,110.228,1.286,113.5306667,111.4288889,2.101777776,58.6,0,58.6,18.4,4.2,14.2,561,14702.8,-14141.8,326.8,14951.2,-14624.4,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-CoverageLLBI-PathLLBI,5,5,223.88,281.04,-57.16,223.6822556,-6e+74,6e+74,0.0008839243435,0.1003022204,-0.09941829608,6.808923122,302.6003178,-295.7913947,1943.8,34,1909.8,111.514,128.41,-16.896,113.5306667,126.2255556,-12.69488889,58.6,0,58.6,18.4,2,16.4,561,28744.6,-28183.6,326.8,29093,-28766.2,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-CoverageLLBI-PathLLBI-RootCuts,5,5,223.88,226.94,-3.06,223.6822556,205.0367918,18.64546384,0.0008839243435,0.09649713795,-0.0956132136,6.808923122,301.8138987,-295.0049756,1943.8,42,1901.8,111.514,109.976,1.538,113.5306667,111.8466667,1.683999998,58.6,0,58.6,18.4,4,14.4,561,28744.6,-28183.6,326.8,29093,-28766.2,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI,5,5,223.88,226.44,-2.56,223.6822556,208.3351458,15.34710984,0.0008839243435,0.08005794521,-0.07917402087,6.808923122,301.6086788,-294.7997557,1943.8,67.8,1876,111.514,110.89,0.624,113.5306667,113.73,-0.199333336,58.6,0,58.6,18.4,4.2,14.2,561,28744.6,-28183.6,326.8,29193,-28866.2,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,5,5,223.88,245.48,-21.6,223.6822556,207.344042,16.33821358,0.0008839243435,0.1396686143,-0.13878469,6.808923122,301.6465244,-294.8376013,1943.8,51.8,1892,111.514,116.822,-5.308,113.5306667,118.0795556,-4.548888892,58.6,0,58.6,18.4,3.6,14.8,561,28744.6,-28183.6,326.8,29193,-28866.2,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-Combinatorial,5,5,223.88,223.88,0,223.6822556,223.6779028,0.004352822,0.0008839243435,0.0009028042152,-1.887987172e-05,6.808923122,132.5955063,-125.7865832,1943.8,1158.4,785.4,111.514,111.514,0,113.5306667,113.5306667,0,58.6,85,-26.4,18.4,16,2.4,561,561,0,326.8,2977.6,-2650.8,,,
