alpha,objective_family,projected_variant,projected_llbi_strategy,use_root_cuts,method,completed_rows,status_counts,avg_branch_benders_lazy_cuts_added,min_branch_benders_lazy_cuts_added,max_branch_benders_lazy_cuts_added,avg_branch_benders_candidate_incumbents_checked,min_branch_benders_candidate_incumbents_checked,max_branch_benders_candidate_incumbents_checked,avg_projected_llbi_cuts_added,min_projected_llbi_cuts_added,max_projected_llbi_cuts_added,avg_projected_llbi_coverage_cuts_added,min_projected_llbi_coverage_cuts_added,max_projected_llbi_coverage_cuts_added,avg_projected_llbi_path_cuts_added,min_projected_llbi_path_cuts_added,max_projected_llbi_path_cuts_added,avg_projected_llbi_total_nonzeros,min_projected_llbi_total_nonzeros,max_projected_llbi_total_nonzeros,avg_projected_llbi_avg_nonzeros_per_cut,min_projected_llbi_avg_nonzeros_per_cut,max_projected_llbi_avg_nonzeros_per_cut,avg_projected_llbi_max_nonzeros_per_cut,min_projected_llbi_max_nonzeros_per_cut,max_projected_llbi_max_nonzeros_per_cut,avg_projected_llbi_separation_time_sec,min_projected_llbi_separation_time_sec,max_projected_llbi_separation_time_sec,avg_projected_llbi_total_time_sec,min_projected_llbi_total_time_sec,max_projected_llbi_total_time_sec,avg_projected_llbi_root_bound_improvement_abs,min_projected_llbi_root_bound_improvement_abs,max_projected_llbi_root_bound_improvement_abs,avg_projected_llbi_root_bound_improvement_pct,min_projected_llbi_root_bound_improvement_pct,max_projected_llbi_root_bound_improvement_pct
0.01,MeanCVaR,ProjectedPathLLBI-poly,poly,true,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-poly-RootCuts,5,Optimal:5,178.6,87,421,19.4,11,35,100,100,100,0,0,0,100,100,100,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0
0.02,CVaR,ProjectedCoverageLLBI-exp,exp,false,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp,5,Feasible:4;Optimal:1,443.2,313,579,57.8,42,82,382.6,349,442,382.6,349,442,0,0,0,68788,58695,75608,179.9348544,168.1805158,189.4916667,345.2,327,353,1.904857756,1.64806399,2.17221595,2.04905451,1.78629235,2.35545076,138.7427051,130.7962741,145.3885673,13874.27051,13079.62741,14538.85673
0.02,CVaR,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,5,Feasible:4;Optimal:1,298.8,210,389,45.4,30,58,382.6,349,442,382.6,349,442,0,0,0,68788,58695,75608,179.9348544,168.1805158,189.4916667,345.2,327,353,2.092845974,1.5768434,2.59684987,2.256967452,1.6919003,2.79723519,138.7427051,130.7962741,145.3885673,13874.27051,13079.62741,14538.85673
0.02,CVaR,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly,5,Feasible:5,1149.8,934,1492,82.6,66,121,100,100,100,100,100,100,0,0,0,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0
0.02,CVaR,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,5,Feasible:4;Optimal:1,869.2,671,1590,64.6,42,110,100,100,100,100,100,100,0,0,0,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0
0.02,CVaR,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp,5,Feasible:3;Optimal:2,292.8,161,593,44.2,29,75,393.4,339,464,0,0,0,393.4,339,464,70959.4,57231,79374,180.4870643,168.8230089,189.9722222,345.2,327,353,0.551223454,0.50884135,0.58321173,0.692150134,0.64793057,0.73412614,139.4608557,131.2174778,146.5868233,13946.08557,13121.74778,14658.68233
0.02,CVaR,ProjectedPathLLBI-exp,exp,true,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,5,Feasible:3;Optimal:2,320.8,116,492,46,21,70,393.4,339,464,0,0,0,393.4,339,464,70959.4,57231,79374,180.4870643,168.8230089,189.9722222,345.2,327,353,0.601904106,0.46230598,0.71430762,0.778529422,0.55991673,0.93441147,139.4608557,131.2174778,146.5868233,13946.08557,13121.74778,14658.68233
0.02,CVaR,ProjectedPathLLBI-poly,poly,false,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly,5,Feasible:4;Optimal:1,1131,760,1564,81.8,61,111,100,100,100,0,0,0,100,100,100,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0
0.02,CVaR,ProjectedPathLLBI-poly,poly,true,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly-RootCuts,5,Feasible:4;Optimal:1,978.6,538,1208,73.8,53,91,100,100,100,0,0,0,100,100,100,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0
0.02,Expected,ProjectedCoverageLLBI-exp,exp,false,FPP-Branch-Benders-ProjectedCoverageLLBI-exp,5,Optimal:5,243.6,129,331,20,12,24,521.8,471,551,521.8,471,551,0,0,0,81775.8,71022,88697,156.6013685,150.71875,164.2537037,345.2,327,353,2.008391576,1.62103083,2.53997384,2.163233528,1.74734622,2.7197899,80.67459714,75.98582045,84.76667723,8067.459714,7598.582045,8476.667723
