source,task_id,alpha,case_id,objective_family,method,status,runtime_seconds,time_limit,objective,best_bound,reported_mip_gap,solver_mip_gap,calculated_gap,gap_excluded_reason
previous,worker_00_task_012,0.01,case00,Expected,FPP-Branch-Benders-PathLLBI,Optimal,24.49212363,300,102.72,102.66948333,0.001,,0.0004917900117,
previous,worker_00_task_013,0.01,case00,Expected,FPP-Branch-Benders-PathLLBI-RootCuts,Optimal,62.60461670,300,102.72,102.66948333,0.001,,0.0004917900117,
previous,worker_00_task_007,0.01,case00,Expected,FPP-Branch-Benders-RootCuts,Optimal,6.24609664,300,102.72,102.63815574,0.001,,0.0007967704439,
previous,worker_00_task_042,0.01,case00,Expected,FPP-Branch-Benders-Combinatorial,Optimal,7.51768435,300,102.72,102.63354847,0.001,,0.0008416231503,
previous,worker_00_task_000,0.01,case00,Expected,FPP-SAA-fpp_base,Optimal,1.79738654,300,102.72,102.72000000,0.001,,0,
previous,worker_00_task_001,0.01,case00,Expected,FPP-SAA-fpp_cut,Optimal,4.56338078,300,102.72,102.67000000,0.001,,0.0004867601246,
previous,worker_00_task_030,0.01,case00,MeanCVaR,FPP-Branch-Benders,Optimal,4.45970663,300,165.82,165.65731025,0.001,,0.0009811226028,
previous,worker_00_task_034,0.01,case00,MeanCVaR,FPP-Branch-Benders-CoverageLLBI,Optimal,248.73700193,300,165.82,165.75011497,0.001,,0.0004214511519,
previous,worker_00_task_038,0.01,case00,MeanCVaR,FPP-Branch-Benders-CoverageLLBI-PathLLBI,Feasible,301.00102744,300,166.025,162.40789689,0.001,,0.02178649667,
previous,worker_00_task_039,0.01,case00,MeanCVaR,FPP-Branch-Benders-CoverageLLBI-PathLLBI-RootCuts,Feasible,301.21412078,300,166.025,158.44871973,0.001,,0.04563337009,
previous,worker_00_task_035,0.01,case00,MeanCVaR,FPP-Branch-Benders-CoverageLLBI-RootCuts,Optimal,118.70924264,300,165.82,165.65634064,0.001,,0.0009869699674,
previous,worker_00_task_032,0.01,case00,MeanCVaR,FPP-Branch-Benders-LLBI,Optimal,2.75330455,300,165.82,165.65829984,0.001,,0.0009751547461,
previous,worker_00_task_040,0.01,case00,MeanCVaR,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI,Feasible,301.19240922,300,170.54,160.12155055,0.001,,0.06109094318,
previous,worker_00_task_041,0.01,case00,MeanCVaR,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,Feasible,301.26841771,300,170.54,159.81349613,0.001,,0.0628972902,
previous,worker_00_task_033,0.01,case00,MeanCVaR,FPP-Branch-Benders-LLBI-RootCuts,Optimal,5.82656661,300,165.82,165.67129768,0.001,,0.0008967695091,
previous,worker_00_task_036,0.01,case00,MeanCVaR,FPP-Branch-Benders-PathLLBI,Optimal,146.84703122,300,165.82,165.73262885,0.001,,0.0005269035701,
previous,worker_00_task_037,0.01,case00,MeanCVaR,FPP-Branch-Benders-PathLLBI-RootCuts,Optimal,116.49141819,300,165.82,165.73262885,0.001,,0.0005269035701,
previous,worker_00_task_031,0.01,case00,MeanCVaR,FPP-Branch-Benders-RootCuts,Optimal,5.62515397,300,165.82,165.65623393,0.001,,0.0009876134966,
previous,worker_00_task_044,0.01,case00,MeanCVaR,FPP-Branch-Benders-Combinatorial,Optimal,38.57795552,300,165.82,165.82000000,0.001,,0,
previous,worker_00_task_004,0.01,case00,MeanCVaR,FPP-SAA-fpp_base,Optimal,176.82943562,300,165.82,165.65553314,0.001,,0.0009918397057,
previous,worker_00_task_005,0.01,case00,MeanCVaR,FPP-SAA-fpp_cut,Optimal,194.80799892,300,165.82,165.65490283,0.001,,0.0009956408756,
previous,worker_01_task_018,0.02,case00,CVaR,FPP-Branch-Benders,Feasible,300.29588359,300,169.3,154.62929427,0.001,,0.08665508405,
previous,worker_01_task_022,0.02,case00,CVaR,FPP-Branch-Benders-CoverageLLBI,Feasible,301.29614060,300,171.5,146.81642398,0.001,,0.143927557,
previous,worker_01_task_026,0.02,case00,CVaR,FPP-Branch-Benders-CoverageLLBI-PathLLBI,Feasible,301.13203561,300,171.3,147.95077423,0.001,,0.1363060465,
previous,worker_01_task_027,0.02,case00,CVaR,FPP-Branch-Benders-CoverageLLBI-PathLLBI-RootCuts,Feasible,301.96441177,300,277.3,146.65047690,0.001,,0.4711486589,
previous,worker_01_task_023,0.02,case00,CVaR,FPP-Branch-Benders-CoverageLLBI-RootCuts,Feasible,301.34210475,300,173.7,148.35666783,0.001,,0.145902891,
previous,worker_01_task_020,0.02,case00,CVaR,FPP-Branch-Benders-LLBI,Feasible,300.85276492,300,167.9,156.58279791,0.001,,0.06740441983,
previous,worker_01_task_028,0.02,case00,CVaR,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI,Feasible,302.13799148,300,269.5,147.08535884,0.001,,0.4542287242,
previous,worker_01_task_029,0.02,case00,CVaR,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,Feasible,301.25133236,300,171.3,148.35998240,0.001,,0.1339172072,
previous,worker_01_task_021,0.02,case00,CVaR,FPP-Branch-Benders-LLBI-RootCuts,Feasible,300.64509835,300,167.9,157.77277910,0.001,,0.06031697975,
previous,worker_01_task_024,0.02,case00,CVaR,FPP-Branch-Benders-PathLLBI,Feasible,300.82632226,300,171.3,149.44478587,0.001,,0.1275844374,
previous,worker_01_task_025,0.02,case00,CVaR,FPP-Branch-Benders-PathLLBI-RootCuts,Feasible,300.80054492,300,171.3,149.44478587,0.001,,0.1275844374,
previous,worker_01_task_019,0.02,case00,CVaR,FPP-Branch-Benders-RootCuts,Feasible,300.27730870,300,171.7,155.44845484,0.001,,0.09465081631,
previous,worker_01_task_043,0.02,case00,CVaR,FPP-Branch-Benders-Combinatorial,Feasible,359.06954932,300,192.4,146.61852626,0.001,,0.2379494477,
previous,worker_01_task_002,0.02,case00,CVaR,FPP-SAA-fpp_base,Feasible,300.02950405,300,169.5,155.38748693,0.001,,0.08325966413,
previous,worker_01_task_003,0.02,case00,CVaR,FPP-SAA-fpp_cut,Feasible,300.01065731,300,167.9,150.97945320,0.001,,0.1007775271,
previous,worker_01_task_006,0.02,case00,Expected,FPP-Branch-Benders,Optimal,226.88371674,300,81.79,81.70843979,0.001,,0.0009971904878,
previous,worker_01_task_010,0.02,case00,Expected,FPP-Branch-Benders-CoverageLLBI,Optimal,62.70558433,300,81.79,81.71177293,0.001,,0.0009564380731,
