alpha,objective_family,projected_variant,projected_llbi_strategy,use_root_cuts,method,completed_rows,status_counts,avg_objective_metric,min_objective_metric,max_objective_metric,avg_best_bound,min_best_bound,max_best_bound,avg_gap_metric,min_gap_metric,max_gap_metric,avg_runtime_metric,min_runtime_metric,max_runtime_metric,avg_explored_nodes,min_explored_nodes,max_explored_nodes,avg_train_expected_burned_area,min_train_expected_burned_area,max_train_expected_burned_area,avg_test_expected_burned_area,min_test_expected_burned_area,max_test_expected_burned_area,avg_train_worst10_metric,min_train_worst10_metric,max_train_worst10_metric,avg_test_worst10_metric,min_test_worst10_metric,max_test_worst10_metric
0.02,CVaR,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,5,Feasible:4;Optimal:1,165.48,154.6,175.3,160.1273614,153.4648393,166.4953496,0.0311128331,0.0009981708926,0.07415132647,264.0813528,110.1884542,303.1193272,91133,58509,122925,89.296,81.25,97.51,94.92044444,93.22111111,97.36444444,165.48,154.6,175.3,216.36,210.2,221.4888889
0.02,CVaR,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly,5,Feasible:5,165.68,154.6,175.3,156.0165078,147.2438053,161.8963042,0.05728155103,0.01833129897,0.07957426509,300.4949023,300.259853,300.7275049,151894.6,138223,184263,89.104,81.25,97.05,95.15911111,93.22111111,98.42,165.68,154.6,175.3,216.3133333,210.2,222.1888889
0.02,CVaR,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,5,Feasible:4;Optimal:1,165.48,154.6,175.3,157.8969633,147.0277617,164.0495601,0.04493428144,0.0009999593144,0.07078916406,286.6908057,231.9606139,300.5807901,151732,92135,193107,89.196,81.25,97.51,94.76244444,93.22111111,97.36444444,165.48,154.6,175.3,216.1733333,210.2,221.4888889
0.02,CVaR,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp,5,Feasible:3;Optimal:2,165.74,154.6,175.6,161.1405215,154.4458911,167.0169432,0.02633660712,0.0009968232859,0.07546727118,241.1486737,98.67061897,301.036944,97013.4,53941,139272,89.306,81.25,97.05,95.22155556,93.22111111,98.42,165.74,154.6,175.6,216.14,210.2,222.1888889
0.02,CVaR,ProjectedPathLLBI-exp,exp,true,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,5,Feasible:3;Optimal:2,165.56,154.6,175.1,161.1531414,154.4454518,166.4971522,0.02538718982,0.0009986567846,0.05789444413,249.0025502,83.78569393,301.2632909,92184,51924,117325,89.334,81.25,97.05,95.99044444,93.22111111,98.42,165.56,154.6,175.1,216.1355556,210.2,222.1888889
0.02,CVaR,ProjectedPathLLBI-poly,poly,false,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly,5,Feasible:4;Optimal:1,165.84,154.6,176.2,156.762451,147.2267436,163.6404473,0.05348976374,0.0009979774256,0.08525520505,293.5269219,265.5672657,300.7301227,153187.8,121705,206866,88.706,81.25,94.49,95.712,93.45555556,98.56111111,165.84,154.6,176.2,217.6022222,210.2,223.5444444
0.02,CVaR,ProjectedPathLLBI-poly,poly,true,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly-RootCuts,5,Feasible:4;Optimal:1,166.06,154.6,175.6,157.9291823,147.4178246,163.8189718,0.04802922935,0.0009989531048,0.07393163001,286.3587174,229.6242756,300.7188404,135590.8,118566,153705,88.874,81.25,94.49,95.14444445,93.45555556,97.36444444,166.06,154.6,175.6,215.7977778,210.2,219.0111111
0.02,Expected,ProjectedCoverageLLBI-exp,exp,false,FPP-Branch-Benders-ProjectedCoverageLLBI-exp,5,Optimal:5,82.756,77.55,87.22,82.67659376,77.47267943,87.1331649,0.0009602554619,0.0008588043427,0.0009970415216,8.29303593,6.7313992,10.4773914,949.6,249,2262,82.756,77.55,87.22,92.81022222,90.97444444,94.91888889,191.26,174.6,204.9,214.3044444,209.1888889,218.5444444
0.02,Expected,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,5,Optimal:5,82.756,77.55,87.22,82.67487255,77.47320868,87.13381065,0.0009803175098,0.0009632149407,0.0009902168923,7.851362966,6.20637493,12.23337342,855.2,165,1816,82.756,77.55,87.22,92.81022222,90.97444444,94.91888889,191.26,174.6,204.9,214.3044444,209.1888889,218.5444444
0.02,Expected,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,5,Optimal:5,82.756,77.55,87.22,82.6735178,77.47245469,87.13284355,0.0009967772211,0.0009862138498,0.0009999395229,141.306801,24.58512313,240.2218419,18892.2,2380,35901,82.756,77.55,87.22,92.81022222,90.97444444,94.91888889,191.26,174.6,204.9,214.3044444,209.1888889,218.5444444
0.02,Expected,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,5,Optimal:5,82.756,77.55,87.22,82.6735664,77.47255322,87.13284384,0.0009961709884,0.000986128169,0.0009992680578,56.46007723,20.42504679,97.65178937,12695.4,2370,32097,82.756,77.55,87.22,92.81022222,90.97444444,94.91888889,191.26,174.6,204.9,214.3044444,209.1888889,218.5444444
0.02,Expected,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-ProjectedPathLLBI-exp,5,Optimal:5,82.756,77.55,87.22,82.68363635,77.47612561,87.14092953,0.0008764675207,0.0006767224178,0.0009958732119,5.084199776,3.56225946,7.3776145,427.6,88,735,82.756,77.55,87.22,92.81022222,90.97444444,94.91888889,191.26,174.6,204.9,214.3044444,209.1888889,218.5444444
0.02,Expected,ProjectedPathLLBI-exp,exp,true,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,5,Optimal:5,82.756,77.55,87.22,82.68291051,77.47736842,87.13412009,0.0008841029116,0.0006767224178,0.0009846355194,4.42885381,3.04329976,7.61141528,409.2,88,762,82.756,77.55,87.22,92.81022222,90.97444444,94.91888889,191.26,174.6,204.9,214.3044444,209.1888889,218.5444444
0.02,Expected,ProjectedPathLLBI-poly,poly,false,FPP-Branch-Benders-ProjectedPathLLBI-poly,5,Optimal:5,82.756,77.55,87.22,82.67332659,77.47249063,87.13285054,0.0009990042322,0.0009981653255,0.0009994760799,61.25818047,39.74613615,95.8682449,15850.8,4041,30403,82.756,77.55,87.22,92.81022222,90.97444444,94.91888889,191.26,174.6,204.9,214.3044444,209.1888889,218.5444444
0.02,Expected,ProjectedPathLLBI-poly,poly,true,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,5,Optimal:5,82.756,77.55,87.22,82.67379071,77.47248019,87.13305847,0.0009935001759,0.0009832488263,0.0009996107028,41.73183062,26.20974834,64.7993204,11802.2,3301,26090,82.756,77.55,87.22,92.81022222,90.97444444,94.91888889,191.26,174.6,204.9,214.3044444,209.1888889,218.5444444
0.02,MeanCVaR,ProjectedCoverageLLBI-exp,exp,false,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-exp,5,Feasible:3;Optimal:2,126.805,117.83,133.96,124.9222706,117.7123121,131.8384166,0.01436875372,0.0009983497182,0.04137667595,254.9400523,182.0209091,302.1798388,72668.6,57015,92382,87.81,80.76,92.62,94.00777778,92.21666667,96.06,165.8,154.9,175.3,215.7866667,210.2,221.0444444
0.02,MeanCVaR,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-exp-RootCuts,5,Feasible:4;Optimal:1,126.805,117.83,133.96,124.9719827,117.712818,133.3579843,0.01414976204,0.0009945001273,0.0370652915,270.712878,145.1059916,302.2621381,86709.4,49752,137307,87.81,80.76,92.62,94.00777778,92.21666667,96.06,165.8,154.9,175.3,215.7866667,210.2,221.0444444
0.02,MeanCVaR,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-poly,5,Feasible:5,127.125,117.83,134.215,120.5567485,113.9337561,127.1183839,0.05122925751,0.03241993662,0.07376987915,300.5330358,300.4488908,300.6173041,88730.2,63651,129392,87.47,80.76,92,93.38777778,91.82444444,96.06,166.78,154.9,176.6,214.7022222,210.2,219.7333333
0.02,MeanCVaR,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-poly-RootCuts,5,Feasible:5,126.897,117.83,134.1,122.2030729,114.8720281,128.0234325,0.03642850932,0.005745563099,0.05649258209,300.5756262,300.4319378,300.631596,99229.4,46759,151369,87.754,80.76,92.62,93.92933333,91.82444444,96.06,166.04,154.9,176.2,216.1733333,210.2,221.0444444
0.02,MeanCVaR,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-exp,5,Feasible:2;Optimal:3,126.805,117.83,133.96,125.6710181,117.7122897,133.5064258,0.008571102199,0.0009989838751,0.03596977546,211.2659508,96.28650266,300.895663,73236.8,34755,112841,87.81,80.76,92.62,94.00777778,92.21666667,96.06,165.8,154.9,175.3,215.7866667,210.2,221.0444444
0.02,MeanCVaR,ProjectedPathLLBI-exp,exp,true,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-exp-RootCuts,5,Feasible:2;Optimal:3,126.86,117.83,134.235,125.8876318,117.7122063,133.5064258,0.007303992818,0.0009991431274,0.03223703192,188.2124576,91.94519891,300.7597214,73771.2,30121,112841,88.04,80.76,93.77,94.83911111,92.21666667,97.49111111,165.68,154.9,175,215.6088889,210.2,221.0444444
0.02,MeanCVaR,ProjectedPathLLBI-poly,poly,false,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-poly,5,Feasible:5,126.982,117.83,133.96,121.8219014,114.8236016,129.2332614,0.04032473399,0.01859844369,0.0636963216,300.5510152,300.4502887,300.7453423,99869.2,45291,121205,87.684,80.76,92.62,93.41622222,92.01444444,96.06,166.28,154.9,175.3,214.3444445,210.2,219.8777778
0.02,MeanCVaR,ProjectedPathLLBI-poly,poly,true,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-poly-RootCuts,5,Feasible:5,127.065,117.83,133.96,122.8160813,115.6079355,130.6534831,0.03325850125,0.01396413804,0.06048000423,300.541783,300.4179588,300.7008118,106894,60982,144105,87.87,80.76,92.62,94.61555556,92.21666667,98.01111111,166.26,154.9,175.3,216.2622222,210.2,223.4222222
