objective,version,rows,status,avg_obj,avg_gap_pct,avg_runtime_s,avg_test_exp,avg_test_tail,avg_nodes,avg_vars,avg_cons
MeanCVaR,FPP-Branch-Benders-LLBI,10,Feasible:5;Optimal:5,146.981,0.1,154.168968623,102.653555554,234.27888888899997,44019.5,561.0,1637.7
MeanCVaR,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI,10,Feasible:10,153.558,0.1,301.417560138,105.53466666599999,239.564444445,40.3,28744.6,29193.0
MeanCVaR,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,10,Feasible:10,148.72650000000002,0.1,301.685412349,103.952222222,235.75555555699998,37.8,28744.6,29193.0
MeanCVaR,FPP-Branch-Benders-LLBI-RootCuts,10,Feasible:5;Optimal:5,146.89249999999998,0.1,154.184348579,102.949333332,235.0,43959.9,561.0,1605.5
MeanCVaR,FPP-Branch-Benders-PathLLBI,10,Feasible:6;Optimal:4,147.322,0.1,254.21253514,102.78622222199999,233.82,384.3,14702.8,14951.2
MeanCVaR,FPP-Branch-Benders-PathLLBI-RootCuts,10,Feasible:7;Optimal:3,147.322,0.1,258.948059095,102.78622222199999,233.82,404.7,14702.8,14951.2
MeanCVaR,FPP-Branch-Benders-ProjectedCoverageLLBI-exp,10,Feasible:3;Optimal:7,146.8465,0.7662321,130.3879854,102.98855555499999,234.806666667,36961.2,561.0,864.1
MeanCVaR,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,10,Feasible:4;Optimal:6,146.8465,0.7522411,138.747577944,102.98855555499999,234.806666667,44079.6,561.0,908.5
MeanCVaR,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,10,Feasible:5;Optimal:5,147.00650000000002,2.6101099,152.89535451700002,102.67855555399998,234.264444444,45286.0,561.0,1654.7
MeanCVaR,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,10,Feasible:5;Optimal:5,146.89249999999998,1.8683196,153.75935297799998,102.949333332,235.0,50431.3,561.0,1611.4
MeanCVaR,FPP-Branch-Benders-ProjectedPathLLBI-exp,10,Feasible:2;Optimal:8,146.8465,0.4745461,107.801832394,102.98855555499999,234.806666667,37229.9,561.0,781.5
MeanCVaR,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,10,Feasible:2;Optimal:8,146.874,0.4111906,96.00426958300001,103.404222222,234.71777777799997,37497.1,561.0,755.4
MeanCVaR,FPP-Branch-Benders-ProjectedPathLLBI-poly,10,Feasible:5;Optimal:5,146.935,2.0633842,153.42317011699998,102.69277777699999,234.085555556,50738.6,561.0,1473.9
MeanCVaR,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,10,Feasible:5;Optimal:5,146.9765,1.7098759999999997,152.959401146,103.29244444399998,235.044444445,54109.1,561.0,1466.7
MeanCVaR,FPP-Branch-Benders-RootCuts,10,Feasible:5;Optimal:5,147.3885,0.1,154.43265040400001,103.097666667,235.415555556,46119.8,561.0,2681.2
MeanCVaR,FPP-SAA-fpp_base,10,Feasible:5;Optimal:5,148.135,0.1,220.08694317600003,103.85211110999998,235.160000001,691.0,36461.0,14363.4
MeanCVaR,FPP-SAA-fpp_cut,10,Feasible:9;Optimal:1,147.324,0.1,289.514979866,102.98055555599998,234.442222222,265.7,28744.6,42547.0
