alpha,objective_family,projected_variant,projected_llbi_strategy,use_root_cuts,method,completed_rows,status_counts,avg_objective_metric,min_objective_metric,max_objective_metric,avg_best_bound,min_best_bound,max_best_bound,avg_gap_metric,min_gap_metric,max_gap_metric,avg_runtime_metric,min_runtime_metric,max_runtime_metric,avg_explored_nodes,min_explored_nodes,max_explored_nodes,avg_train_expected_burned_area,min_train_expected_burned_area,max_train_expected_burned_area,avg_train_worst10_metric,min_train_worst10_metric,max_train_worst10_metric,avg_test_expected_burned_area,min_test_expected_burned_area,max_test_expected_burned_area,avg_test_worst10_metric,min_test_worst10_metric,max_test_worst10_metric,avg_branch_benders_lazy_cuts_added,min_branch_benders_lazy_cuts_added,max_branch_benders_lazy_cuts_added,avg_branch_benders_candidate_incumbents_checked,min_branch_benders_candidate_incumbents_checked,max_branch_benders_candidate_incumbents_checked,avg_projected_llbi_cuts_added,min_projected_llbi_cuts_added,max_projected_llbi_cuts_added,avg_projected_llbi_total_nonzeros,min_projected_llbi_total_nonzeros,max_projected_llbi_total_nonzeros,avg_projected_llbi_avg_nonzeros_per_cut,min_projected_llbi_avg_nonzeros_per_cut,max_projected_llbi_avg_nonzeros_per_cut,avg_projected_llbi_max_nonzeros_per_cut,min_projected_llbi_max_nonzeros_per_cut,max_projected_llbi_max_nonzeros_per_cut,avg_projected_llbi_separation_time_sec,min_projected_llbi_separation_time_sec,max_projected_llbi_separation_time_sec,avg_projected_llbi_total_time_sec,min_projected_llbi_total_time_sec,max_projected_llbi_total_time_sec,avg_projected_llbi_root_bound_improvement_abs,min_projected_llbi_root_bound_improvement_abs,max_projected_llbi_root_bound_improvement_abs,avg_projected_llbi_root_bound_improvement_pct,min_projected_llbi_root_bound_improvement_pct,max_projected_llbi_root_bound_improvement_pct,avg_num_variables,min_num_variables,max_num_variables,avg_num_constraints,min_num_constraints,max_num_constraints,avg_num_nonzeros,min_num_nonzeros,max_num_nonzeros,avg_coverage_llbi_num_zeta_vars,min_coverage_llbi_num_zeta_vars,max_coverage_llbi_num_zeta_vars,avg_path_llbi_num_b_vars,min_path_llbi_num_b_vars,max_path_llbi_num_b_vars
0.01,MeanCVaR,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-exp,5,Optimal:5,166.888,157.565,174.72,166.7346063,157.4223479,174.5520445,0.0009198221124,0.0007879049325,0.0009832921843,4.337713972,2.45086812,6.03956372,1223,599,1615,108.216,100.83,117.57,225.56,214.3,238.1,111.9693333,110.3222222,115.8411111,253.8266667,246.4888889,265.1888889,74,25,111,15.2,7,22,181.2,156,219,32077.4,26258,40274,176.1387109,159.1393939,185.3173077,345.2,327,353,0.52730261,0.422733,0.61843486,0.639409742,0.51685313,0.7727323,155.8585186,146.5082988,162.5845189,15585.85186,14650.82988,16258.45189,561,561,561,356.2,282,431,,,,0,0,0,0,0,0
0.01,MeanCVaR,ProjectedPathLLBI-exp,exp,true,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-exp-RootCuts,5,Optimal:5,166.888,157.565,174.72,166.7346063,157.4223479,174.5520445,0.0009198221124,0.0007879049325,0.0009832921843,3.796081548,2.56550687,4.40520833,1223,599,1615,108.216,100.83,117.57,225.56,214.3,238.1,111.9693333,110.3222222,115.8411111,253.8266667,246.4888889,265.1888889,74,25,111,15.2,7,22,181.2,156,219,32077.4,26258,40274,176.1387109,159.1393939,185.3173077,345.2,327,353,0.514802174,0.31758114,0.63547476,0.62091853,0.37350621,0.75314322,155.8585186,146.5082988,162.5845189,15585.85186,14650.82988,16258.45189,561,561,561,356.2,282,431,,,,0,0,0,0,0,0
0.01,MeanCVaR,ProjectedPathLLBI-poly,poly,false,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-poly,5,Optimal:5,166.888,157.565,174.72,166.7308109,157.4142711,174.5472689,0.0009429481185,0.0007943864536,0.0009886163576,6.295325024,3.37299141,9.87100481,1608,527,2192,108.216,100.83,117.57,225.56,214.3,238.1,111.9693333,110.3222222,115.8411111,253.8266667,246.4888889,265.1888889,213.4,100,281,21.4,18,30,100,100,100,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0,561,561,561,414.4,301,482,,,,0,0,0,0,0,0
0.01,MeanCVaR,ProjectedPathLLBI-poly,poly,true,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-poly-RootCuts,5,Optimal:5,166.888,157.565,174.72,166.7312291,157.4203739,174.5483184,0.0009390202578,0.0009097437513,0.000982610119,5.377019328,2.71090663,8.52467391,1324.2,435,1781,108.216,100.83,117.57,225.56,214.3,238.1,111.9693333,110.3222222,115.8411111,253.8266667,246.4888889,265.1888889,178.6,87,421,19.4,11,35,100,100,100,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0,561,561,561,410.8,314,656,,,,0,0,0,0,0,0
0.02,CVaR,ProjectedCoverageLLBI-exp,exp,false,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp,5,Feasible:4;Optimal:1,165.82,154.6,175.3,159.4208409,152.615295,165.5122491,0.03733346121,0.0009968792367,0.06869741409,275.9509769,170.7456175,302.6633998,93577.6,82737,119041,89.67,81.25,97.51,165.82,154.6,175.3,95.048,93.22111111,97.36444444,216.7444444,210.9888889,221.4888889,443.2,313,579,57.8,42,82,382.6,349,442,68788,58695,75608,179.9348544,168.1805158,189.4916667,345.2,327,353,1.904857756,1.64806399,2.17221595,2.04905451,1.78629235,2.35545076,138.7427051,130.7962741,145.3885673,13874.27051,13079.62741,14538.85673,561,561,561,926.8,808,1048,,,,0,0,0,0,0,0
0.02,CVaR,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,5,Feasible:4;Optimal:1,165.48,154.6,175.3,160.1273614,153.4648393,166.4953496,0.0311128331,0.0009981708926,0.07415132647,264.0813528,110.1884542,303.1193272,91133,58509,122925,89.296,81.25,97.51,165.48,154.6,175.3,94.92044444,93.22111111,97.36444444,216.36,210.2,221.4888889,298.8,210,389,45.4,30,58,382.6,349,442,68788,58695,75608,179.9348544,168.1805158,189.4916667,345.2,327,353,2.092845974,1.5768434,2.59684987,2.256967452,1.6919003,2.79723519,138.7427051,130.7962741,145.3885673,13874.27051,13079.62741,14538.85673,561,561,561,812,710,961,,,,0,0,0,0,0,0
0.02,CVaR,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly,5,Feasible:5,165.68,154.6,175.3,156.0165078,147.2438053,161.8963042,0.05728155103,0.01833129897,0.07957426509,300.4949023,300.259853,300.7275049,151894.6,138223,184263,89.104,81.25,97.05,165.68,154.6,175.3,95.15911111,93.22111111,98.42,216.3133333,210.2,222.1888889,1149.8,934,1492,82.6,66,121,100,100,100,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0,561,561,561,1350.8,1135,1693,,,,0,0,0,0,0,0
0.02,CVaR,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,5,Feasible:4;Optimal:1,165.48,154.6,175.3,157.8969633,147.0277617,164.0495601,0.04493428144,0.0009999593144,0.07078916406,286.6908057,231.9606139,300.5807901,151732,92135,193107,89.196,81.25,97.51,165.48,154.6,175.3,94.76244444,93.22111111,97.36444444,216.1733333,210.2,221.4888889,869.2,671,1590,64.6,42,110,100,100,100,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0,561,561,561,1120.2,914,1846,,,,0,0,0,0,0,0
0.02,CVaR,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp,5,Feasible:3;Optimal:2,165.74,154.6,175.6,161.1405215,154.4458911,167.0169432,0.02633660712,0.0009968232859,0.07546727118,241.1486737,98.67061897,301.036944,97013.4,53941,139272,89.306,81.25,97.05,165.74,154.6,175.6,95.22155556,93.22111111,98.42,216.14,210.2,222.1888889,292.8,161,593,44.2,29,75,393.4,339,464,70959.4,57231,79374,180.4870643,168.8230089,189.9722222,345.2,327,353,0.551223454,0.50884135,0.58321173,0.692150134,0.64793057,0.73412614,139.4608557,131.2174778,146.5868233,13946.08557,13121.74778,14658.68233,561,561,561,787.2,601,1054,,,,0,0,0,0,0,0
0.02,CVaR,ProjectedPathLLBI-exp,exp,true,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,5,Feasible:3;Optimal:2,165.56,154.6,175.1,161.1531414,154.4454518,166.4971522,0.02538718982,0.0009986567846,0.05789444413,249.0025502,83.78569393,301.2632909,92184,51924,117325,89.334,81.25,97.05,165.56,154.6,175.1,95.99044444,93.22111111,98.42,216.1355556,210.2,222.1888889,320.8,116,492,46,21,70,393.4,339,464,70959.4,57231,79374,180.4870643,168.8230089,189.9722222,345.2,327,353,0.601904106,0.46230598,0.71430762,0.778529422,0.55991673,0.93441147,139.4608557,131.2174778,146.5868233,13946.08557,13121.74778,14658.68233,561,561,561,825,561,1011,,,,0,0,0,0,0,0
