objective_family,method_family,method,fpp_mode,lb_config,use_root_cuts,is_combinatorial,completed_rows,status_counts,fpp_saa_validation_status_counts,avg_objective_in_sample,min_objective_in_sample,max_objective_in_sample,avg_best_bound,min_best_bound,max_best_bound,avg_mip_gap,min_mip_gap,max_mip_gap,avg_runtime_seconds,min_runtime_seconds,max_runtime_seconds,avg_train_expected_burned_area,min_train_expected_burned_area,max_train_expected_burned_area,avg_train_worst_10pct_burned_area,min_train_worst_10pct_burned_area,max_train_worst_10pct_burned_area,avg_train_cvar_burned_area,min_train_cvar_burned_area,max_train_cvar_burned_area,avg_test_expected_burned_area,min_test_expected_burned_area,max_test_expected_burned_area,avg_test_worst_10pct_burned_area,min_test_worst_10pct_burned_area,max_test_worst_10pct_burned_area,avg_test_cvar_burned_area,min_test_cvar_burned_area,max_test_cvar_burned_area,avg_selected_firebreak_count,min_selected_firebreak_count,max_selected_firebreak_count,avg_budget,min_budget,max_budget,avg_branch_benders_lazy_cuts_added,min_branch_benders_lazy_cuts_added,max_branch_benders_lazy_cuts_added,avg_branch_benders_candidate_incumbents_checked,min_branch_benders_candidate_incumbents_checked,max_branch_benders_candidate_incumbents_checked,avg_benders_lifted_lower_bound_precompute_time_sec,min_benders_lifted_lower_bound_precompute_time_sec,max_benders_lifted_lower_bound_precompute_time_sec,avg_branch_benders_root_user_cuts_added,min_branch_benders_root_user_cuts_added,max_branch_benders_root_user_cuts_added,avg_combinatorial_benders_integer_cuts_added,min_combinatorial_benders_integer_cuts_added,max_combinatorial_benders_integer_cuts_added,avg_combinatorial_benders_fractional_cuts_added,min_combinatorial_benders_fractional_cuts_added,max_combinatorial_benders_fractional_cuts_added,avg_combinatorial_benders_initial_cuts_added,min_combinatorial_benders_initial_cuts_added,max_combinatorial_benders_initial_cuts_added,avg_combinatorial_benders_scenarios_checked,min_combinatorial_benders_scenarios_checked,max_combinatorial_benders_scenarios_checked,avg_combinatorial_benders_separation_time_sec,min_combinatorial_benders_separation_time_sec,max_combinatorial_benders_separation_time_sec,avg_subproblem_total_solve_time_sec,min_subproblem_total_solve_time_sec,max_subproblem_total_solve_time_sec,avg_subproblem_avg_solve_time_sec,min_subproblem_avg_solve_time_sec,max_subproblem_avg_solve_time_sec,avg_subproblem_max_solve_time_sec,min_subproblem_max_solve_time_sec,max_subproblem_max_solve_time_sec
Expected,FPP-Branch-Benders,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,,LLBI+CoverageLLBI+PathLLBI,true,false,10,Feasible:4;Optimal:6,pass:10,99.392,77.55,119.19,93.64380388,77.25222222,110.8711788,0.001,0.001,0.001,209.6001997,73.70093746,303.2138612,99.392,77.55,119.19,231.49,174.6,273,231.49,174.6,273,105.0041111,90.97444444,118.3533333,243.8022222,209.1888889,275.1777778,243.8022222,209.1888889,275.1777778,5.1,3,8,6,4,8,0,0,0,3.7,2,5,0.15566662,0.0842854,0.2694141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Expected,FPP-Branch-Benders,FPP-Branch-Benders-LLBI-RootCuts,,LLBI,true,false,10,Optimal:10,pass:10,94.101,77.55,110.94,94.02024703,77.47255322,110.8540219,0.001,0.001,0.001,39.93685758,1.94720214,169.843596,94.101,77.55,110.94,219.61,174.6,259.7,219.61,174.6,259.7,100.5781111,90.97444444,112.5233333,233.5655556,209.1888889,261.7,233.5655556,209.1888889,261.7,6,4,8,6,4,8,1070.2,126,3605,42.2,11,109,0.134188179,0.07949196,0.25220498,53.8,38,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Expected,FPP-Branch-Benders,FPP-Branch-Benders-PathLLBI,,PathLLBI,false,false,10,Optimal:10,pass:10,94.106,77.55,110.95,94.07879172,77.50569872,110.87,0.001,0.001,0.001,61.83464322,24.49212363,144.3418665,94.106,77.55,110.95,219.34,174.6,263.3,219.34,174.6,263.3,101.1426667,90.97444444,112.5233333,234.2544444,209.1888889,261.7,234.2544444,209.1888889,261.7,6,4,8,6,4,8,0,0,0,5.2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Expected,FPP-Branch-Benders,FPP-Branch-Benders-PathLLBI-RootCuts,,PathLLBI,true,false,10,Optimal:10,pass:10,94.106,77.55,110.95,94.07879172,77.50569872,110.87,0.001,0.001,0.001,55.94566396,27.89694927,141.3634029,94.106,77.55,110.95,219.34,174.6,263.3,219.34,174.6,263.3,101.1426667,90.97444444,112.5233333,234.2544444,209.1888889,261.7,234.2544444,209.1888889,261.7,6,4,8,6,4,8,0,0,0,5.2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Expected,FPP-Branch-Benders,FPP-Branch-Benders-RootCuts,,None,true,false,10,Feasible:1;Optimal:9,pass:10,94.103,77.55,110.94,93.90775447,77.47245891,110.8685965,0.001,0.001,0.001,71.41754672,6.24609664,300.2785609,94.103,77.55,110.94,218.65,174.6,259.7,218.65,174.6,259.7,100.5684444,90.97444444,112.5233333,233.3911111,209.1888889,261.7,233.3911111,209.1888889,261.7,6,4,8,6,4,8,2297.6,893,4846,60.8,20,143,0,0,0,55.1,34,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Expected,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial,,Combinatorial,false,true,10,Optimal:10,pass:10,94.101,77.55,110.94,94.07468481,77.55,110.94,0.001,0.001,0.001,30.50151139,6.06130124,67.979271,94.101,77.55,110.94,219.61,174.6,259.7,219.61,174.6,259.7,100.5781111,90.97444444,112.5233333,233.5655556,209.1888889,261.7,233.5655556,209.1888889,261.7,6,4,8,6,4,8,147.4,90,246,17.1,10,33,0,0,0,0,0,0,147.4,90,246,8174.2,520,20888,100,100,100,54235.2,4380,128045,15.15033962,1.54987336,32.58715568,,,,,,,,,
Expected,FPP-SAA,FPP-SAA,fpp_base,None,false,false,10,Optimal:10,pass:10,94.101,77.55,110.94,94.08577083,77.47770833,110.94,0.001,0.001,0.001,11.45364798,1.67501518,28.74740778,94.101,77.55,110.94,219.61,174.6,259.7,219.61,174.6,259.7,100.5781111,90.97444444,112.5233333,233.5655556,209.1888889,261.7,233.5655556,209.1888889,261.7,6,4,8,6,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Expected,FPP-SAA,FPP-SAA,fpp_cut,None,false,false,10,Optimal:10,pass:10,94.109,77.55,111.02,94.07725,77.55,110.9175,0.001,0.001,0.001,27.63835337,4.56338078,84.75039078,94.109,77.55,111.02,218.11,174.6,255.2,218.11,174.6,255.2,100.651,90.97444444,112.5233333,233.3955556,209.1888889,261.7,233.3955556,209.1888889,261.7,6,4,8,6,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR,,None,false,false,10,Feasible:5;Optimal:5,pass:10,148.2435,118.405,174.72,142.837243,112.7100861,174.5768533,0.001,0.001,0.001,154.3558762,3.68281727,300.6012723,98.227,80.41,117.57,198.26,156.4,238.1,198.26,156.4,238.1,103.4862222,92.52111111,115.8411111,235.1877778,215.1333333,265.1888889,235.1877778,215.1333333,265.1888889,6,4,8,6,4,8,3098.6,838,6481,76.6,18,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-CoverageLLBI,,CoverageLLBI,false,false,10,Feasible:8;Optimal:2,pass:10,147.332,118.09,174.72,140.444336,110.7236863,170.0010494,0.001,0.001,0.001,278.4093826,130.4509704,300.9860138,97.614,80.78,117.57,197.05,155.4,238.1,197.05,155.4,238.1,103.0973333,92.21666667,115.8411111,234.7666667,210.2,265.1888889,234.7666667,210.2,265.1888889,6,4,8,6,4,8,36.6,8,69,12.2,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-CoverageLLBI-PathLLBI,,CoverageLLBI+PathLLBI,false,false,10,Feasible:10,pass:10,161.6315,121.61,243.82,-2e+74,-1e+75,166.3054844,0.001,0.001,0.001,301.3535568,300.8744888,302.945244,105.413,80.52,156.64,217.85,157.3,331,217.85,157.3,331,108.0764444,90.91,136.9688889,245.1277778,209.5333333,310.9888889,245.1277778,209.5333333,310.9888889,6.5,4,8,6,4,8,0,0,0,3.4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-CoverageLLBI-PathLLBI-RootCuts,,CoverageLLBI+PathLLBI,true,false,10,Feasible:10,pass:10,148.6615,121.61,174.72,136.7579552,107.2503409,165.1179245,0.001,0.001,0.001,301.3075764,300.9665018,302.2676115,98.063,80.52,118.72,199.26,157.3,238.1,199.26,157.3,238.1,103.0434444,90.91,117.5955556,233.9422222,209.5333333,271.9333333,233.9422222,209.5333333,271.9333333,6,4,8,6,4,8,0,0,0,4.1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
