objective_family,method_family,method,fpp_mode,lb_config,use_root_cuts,is_combinatorial,completed_rows,status_counts,fpp_saa_validation_status_counts,avg_objective_in_sample,min_objective_in_sample,max_objective_in_sample,avg_train_expected_burned_area,min_train_expected_burned_area,max_train_expected_burned_area,avg_train_worst_10pct_burned_area,min_train_worst_10pct_burned_area,max_train_worst_10pct_burned_area,avg_train_cvar_burned_area,min_train_cvar_burned_area,max_train_cvar_burned_area,avg_test_expected_burned_area,min_test_expected_burned_area,max_test_expected_burned_area,avg_test_worst_10pct_burned_area,min_test_worst_10pct_burned_area,max_test_worst_10pct_burned_area,avg_test_cvar_burned_area,min_test_cvar_burned_area,max_test_cvar_burned_area,avg_selected_firebreak_count,min_selected_firebreak_count,max_selected_firebreak_count,avg_budget,min_budget,max_budget
Expected,FPP-Branch-Benders,FPP-Branch-Benders-PathLLBI,,PathLLBI,false,false,10,Optimal:10,pass:10,94.106,77.55,110.95,94.106,77.55,110.95,219.34,174.6,263.3,219.34,174.6,263.3,101.1426667,90.97444444,112.5233333,234.2544444,209.1888889,261.7,234.2544444,209.1888889,261.7,6,4,8,6,4,8
Expected,FPP-Branch-Benders,FPP-Branch-Benders-PathLLBI-RootCuts,,PathLLBI,true,false,10,Optimal:10,pass:10,94.106,77.55,110.95,94.106,77.55,110.95,219.34,174.6,263.3,219.34,174.6,263.3,101.1426667,90.97444444,112.5233333,234.2544444,209.1888889,261.7,234.2544444,209.1888889,261.7,6,4,8,6,4,8
Expected,FPP-Branch-Benders,FPP-Branch-Benders-RootCuts,,None,true,false,10,Feasible:1;Optimal:9,pass:10,94.103,77.55,110.94,94.103,77.55,110.94,218.65,174.6,259.7,218.65,174.6,259.7,100.5684444,90.97444444,112.5233333,233.3911111,209.1888889,261.7,233.3911111,209.1888889,261.7,6,4,8,6,4,8
Expected,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial,,Combinatorial,false,true,10,Optimal:10,pass:10,94.101,77.55,110.94,94.101,77.55,110.94,219.61,174.6,259.7,219.61,174.6,259.7,100.5781111,90.97444444,112.5233333,233.5655556,209.1888889,261.7,233.5655556,209.1888889,261.7,6,4,8,6,4,8
Expected,FPP-SAA,FPP-SAA,fpp_base,None,false,false,10,Optimal:10,pass:10,94.101,77.55,110.94,94.101,77.55,110.94,219.61,174.6,259.7,219.61,174.6,259.7,100.5781111,90.97444444,112.5233333,233.5655556,209.1888889,261.7,233.5655556,209.1888889,261.7,6,4,8,6,4,8
Expected,FPP-SAA,FPP-SAA,fpp_cut,None,false,false,10,Optimal:10,pass:10,94.109,77.55,111.02,94.109,77.55,111.02,218.11,174.6,255.2,218.11,174.6,255.2,100.651,90.97444444,112.5233333,233.3955556,209.1888889,261.7,233.3955556,209.1888889,261.7,6,4,8,6,4,8
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR,,None,false,false,10,Feasible:5;Optimal:5,pass:10,148.2435,118.405,174.72,98.227,80.41,117.57,198.26,156.4,238.1,198.26,156.4,238.1,103.4862222,92.52111111,115.8411111,235.1877778,215.1333333,265.1888889,235.1877778,215.1333333,265.1888889,6,4,8,6,4,8
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-CoverageLLBI,,CoverageLLBI,false,false,10,Feasible:8;Optimal:2,pass:10,147.332,118.09,174.72,97.614,80.78,117.57,197.05,155.4,238.1,197.05,155.4,238.1,103.0973333,92.21666667,115.8411111,234.7666667,210.2,265.1888889,234.7666667,210.2,265.1888889,6,4,8,6,4,8
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-CoverageLLBI-PathLLBI,,CoverageLLBI+PathLLBI,false,false,10,Feasible:10,pass:10,161.6315,121.61,243.82,105.413,80.52,156.64,217.85,157.3,331,217.85,157.3,331,108.0764444,90.91,136.9688889,245.1277778,209.5333333,310.9888889,245.1277778,209.5333333,310.9888889,6.5,4,8,6,4,8
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-CoverageLLBI-PathLLBI-RootCuts,,CoverageLLBI+PathLLBI,true,false,10,Feasible:10,pass:10,148.6615,121.61,174.72,98.063,80.52,118.72,199.26,157.3,238.1,199.26,157.3,238.1,103.0434444,90.91,117.5955556,233.9422222,209.5333333,271.9333333,233.9422222,209.5333333,271.9333333,6,4,8,6,4,8
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-CoverageLLBI-RootCuts,,CoverageLLBI,true,false,10,Feasible:9;Optimal:1,pass:10,147.517,119.37,174.72,97.934,79.24,117.57,197.1,157.3,238.1,197.1,157.3,238.1,103.3036667,92.21666667,116.8811111,234.0611111,210.2,265.1888889,234.0611111,210.2,265.1888889,6,4,8,6,4,8
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-LLBI,,LLBI,false,false,10,Feasible:5;Optimal:5,pass:10,146.981,117.83,174.72,97.922,80.76,117.57,196.04,154.9,238.1,196.04,154.9,238.1,102.6535556,91.82444444,115.8411111,234.2788889,210.2,265.1888889,234.2788889,210.2,265.1888889,6,4,8,6,4,8
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-LLBI-CoverageLLBI-PathLLBI,,LLBI+CoverageLLBI+PathLLBI,false,false,10,Feasible:10,pass:10,153.558,121.61,221.4,100.996,80.52,141.7,206.12,157.3,301.1,206.12,157.3,301.1,105.5346667,92.52111111,131.4311111,239.5644444,209.3777778,300.9444444,239.5644444,209.3777778,300.9444444,5.7,1,8,6,4,8
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-LLBI-CoverageLLBI-PathLLBI-RootCuts,,LLBI+CoverageLLBI+PathLLBI,true,false,10,Feasible:10,pass:10,148.7265,121.61,174.72,98.473,80.52,117.57,198.98,157.3,238.1,198.98,157.3,238.1,103.9522222,92.52111111,115.8411111,235.7555556,209.3777778,265.1888889,235.7555556,209.3777778,265.1888889,6,4,8,6,4,8
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-LLBI-RootCuts,,LLBI,true,false,10,Feasible:5;Optimal:5,pass:10,146.8925,117.83,174.72,97.985,80.76,117.57,195.8,154.9,238.1,195.8,154.9,238.1,102.9493333,91.82444444,115.8411111,235,210.2,265.1888889,235,210.2,265.1888889,6,4,8,6,4,8
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-PathLLBI,,PathLLBI,false,false,10,Feasible:6;Optimal:4,pass:10,147.322,121.61,174.72,97.914,80.52,117.57,196.73,157.3,238.1,196.73,157.3,238.1,102.7862222,92.21666667,115.8411111,233.82,210.2,265.1888889,233.82,210.2,265.1888889,6,4,8,6,4,8
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-PathLLBI-RootCuts,,PathLLBI,true,false,10,Feasible:7;Optimal:3,pass:10,147.322,121.61,174.72,97.914,80.52,117.57,196.73,157.3,238.1,196.73,157.3,238.1,102.7862222,92.21666667,115.8411111,233.82,210.2,265.1888889,233.82,210.2,265.1888889,6,4,8,6,4,8
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-RootCuts,,None,true,false,10,Feasible:5;Optimal:5,pass:10,147.3885,119.425,174.72,97.557,80.65,117.57,197.22,158.2,238.1,197.22,158.2,238.1,103.0976667,92.21666667,115.8411111,235.4155556,210.2,265.1888889,235.4155556,210.2,265.1888889,6,4,8,6,4,8
MeanCVaR,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial-MeanCVaR,,Combinatorial,false,true,10,Feasible:5;Optimal:5,pass:10,148.5525,121.61,174.72,97.715,80.52,117.57,199.39,160,238.1,199.39,160,238.1,102.9723333,91.71777778,115.8411111,235.0166667,211.4666667,265.1888889,235.0166667,211.4666667,265.1888889,6,4,8,6,4,8
MeanCVaR,FPP-SAA,FPP-SAA-MeanCVaR,fpp_base,None,false,false,10,Feasible:5;Optimal:5,pass:10,148.135,120.48,174.72,97.94,79.56,117.57,198.33,158,238.1,198.33,158,238.1,103.8521111,92.00111111,115.8411111,235.16,211.8555556,265.1888889,235.16,211.8555556,265.1888889,6,4,8,6,4,8
MeanCVaR,FPP-SAA,FPP-SAA-MeanCVaR,fpp_cut,None,false,false,10,Feasible:9;Optimal:1,pass:10,147.324,121.37,174.72,97.768,80.34,117.57,196.88,157.3,238.1,196.88,157.3,238.1,102.9805556,92.21666667,115.8411111,234.4422222,210.2,265.1888889,234.4422222,210.2,265.1888889,6,4,8,6,4,8
